Epoch: [1][120/2049], lr: 0.00100	Time 0.101 (0.109)	Data 0.000 (0.010)	Loss 2.5503 (2.5610)	Prec@1 0.000 (15.702)	Prec@5 100.000 (47.934)
Epoch: [1][140/2049], lr: 0.00100	Time 0.105 (0.108)	Data 0.000 (0.009)	Loss 1.9768 (2.5325)	Prec@1 0.000 (17.021)	Prec@5 100.000 (50.355)
Epoch: [1][160/2049], lr: 0.00100	Time 0.090 (0.107)	Data 0.000 (0.008)	Loss 3.3660 (2.5174)	Prec@1 0.000 (18.012)	Prec@5 0.000 (50.932)
Epoch: [1][180/2049], lr: 0.00100	Time 0.096 (0.106)	Data 0.000 (0.007)	Loss 1.7006 (2.5290)	Prec@1 100.000 (17.127)	Prec@5 100.000 (51.381)
Epoch: [1][200/2049], lr: 0.00100	Time 0.093 (0.105)	Data 0.000 (0.006)	Loss 2.5641 (2.5338)	Prec@1 0.000 (16.915)	Prec@5 100.000 (51.244)
Epoch: [1][220/2049], lr: 0.00100	Time 0.102 (0.105)	Data 0.000 (0.006)	Loss 2.6100 (2.5262)	Prec@1 0.000 (16.290)	Prec@5 100.000 (51.131)
Epoch: [1][240/2049], lr: 0.00100	Time 0.093 (0.104)	Data 0.000 (0.005)	Loss 2.7495 (2.5315)	Prec@1 0.000 (16.598)	Prec@5 0.000 (51.037)
Epoch: [1][260/2049], lr: 0.00100	Time 0.098 (0.103)	Data 0.000 (0.005)	Loss 2.9820 (2.5257)	Prec@1 0.000 (16.858)	Prec@5 0.000 (51.724)
Epoch: [1][280/2049], lr: 0.00100	Time 0.102 (0.103)	Data 0.000 (0.004)	Loss 2.8022 (2.5367)	Prec@1 0.000 (16.014)	Prec@5 0.000 (50.890)
Epoch: [1][300/2049], lr: 0.00100	Time 0.098 (0.102)	Data 0.000 (0.004)	Loss 1.7625 (2.5421)	Prec@1 100.000 (16.611)	Prec@5 100.000 (50.166)
Epoch: [1][320/2049], lr: 0.00100	Time 0.114 (0.102)	Data 0.000 (0.004)	Loss 2.4503 (2.5510)	Prec@1 0.000 (15.888)	Prec@5 100.000 (50.156)
Epoch: [1][340/2049], lr: 0.00100	Time 0.096 (0.102)	Data 0.000 (0.004)	Loss 2.0165 (2.5448)	Prec@1 0.000 (15.543)	Prec@5 100.000 (50.440)
Epoch: [1][360/2049], lr: 0.00100	Time 0.100 (0.102)	Data 0.000 (0.003)	Loss 3.1190 (2.5494)	Prec@1 0.000 (15.512)	Prec@5 0.000 (50.139)
Epoch: [1][380/2049], lr: 0.00100	Time 0.091 (0.102)	Data 0.000 (0.003)	Loss 2.1921 (2.5519)	Prec@1 0.000 (15.223)	Prec@5 100.000 (49.606)
Epoch: [1][400/2049], lr: 0.00100	Time 0.103 (0.102)	Data 0.000 (0.003)	Loss 2.0651 (2.5432)	Prec@1 0.000 (15.212)	Prec@5 100.000 (50.125)
Epoch: [1][420/2049], lr: 0.00100	Time 0.096 (0.102)	Data 0.000 (0.003)	Loss 5.2397 (2.5408)	Prec@1 0.000 (15.914)	Prec@5 0.000 (50.594)
Epoch: [1][440/2049], lr: 0.00100	Time 0.094 (0.102)	Data 0.000 (0.003)	Loss 2.2013 (2.5482)	Prec@1 0.000 (15.420)	Prec@5 100.000 (49.887)
Epoch: [1][460/2049], lr: 0.00100	Time 0.095 (0.101)	Data 0.000 (0.003)	Loss 2.8118 (2.5371)	Prec@1 0.000 (16.052)	Prec@5 0.000 (50.976)
Epoch: [1][480/2049], lr: 0.00100	Time 0.091 (0.101)	Data 0.000 (0.003)	Loss 2.6827 (2.5415)	Prec@1 0.000 (16.008)	Prec@5 0.000 (50.312)
Epoch: [1][500/2049], lr: 0.00100	Time 0.092 (0.101)	Data 0.000 (0.003)	Loss 1.6000 (2.5392)	Prec@1 100.000 (16.966)	Prec@5 100.000 (50.499)
