Testing Results: Prec@1 92.257 Prec@5 99.803 Loss 0.35049
Best Prec@1: 92.257

Epoch: [15][0/105], lr: 0.00100	Time 13.424 (13.424)	Data 11.449 (11.449)	Loss 0.2213 (0.2213)	Prec@1 93.056 (93.056)	Prec@5 100.000 (100.000)
Epoch: [15][20/105], lr: 0.00100	Time 1.933 (2.508)	Data 0.000 (0.545)	Loss 0.2659 (0.2172)	Prec@1 93.056 (92.725)	Prec@5 100.000 (99.735)
Epoch: [15][40/105], lr: 0.00100	Time 1.909 (2.236)	Data 0.000 (0.279)	Loss 0.0649 (0.1974)	Prec@1 98.611 (93.496)	Prec@5 100.000 (99.695)
Epoch: [15][60/105], lr: 0.00100	Time 1.907 (2.145)	Data 0.000 (0.188)	Loss 0.2301 (0.1855)	Prec@1 93.056 (93.807)	Prec@5 100.000 (99.727)
Epoch: [15][80/105], lr: 0.00100	Time 1.904 (2.098)	Data 0.000 (0.141)	Loss 0.3680 (0.1772)	Prec@1 88.889 (93.999)	Prec@5 100.000 (99.794)
Epoch: [15][100/105], lr: 0.00100	Time 1.903 (2.061)	Data 0.000 (0.113)	Loss 0.3969 (0.1805)	Prec@1 88.889 (93.936)	Prec@5 97.222 (99.794)
Test: [0/22]	Time 12.287 (12.287)	Loss 1.2749 (1.2749)	Prec@1 76.389 (76.389)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.955 (1.544)	Loss 0.7283 (0.5963)	Prec@1 86.111 (88.955)	Prec@5 98.611 (99.537)
Testing Results: Prec@1 89.042 Prec@5 99.541 Loss 0.59163
Best Prec@1: 92.257

Epoch: [16][0/105], lr: 0.00100	Time 15.683 (15.683)	Data 13.646 (13.646)	Loss 0.2358 (0.2358)	Prec@1 91.667 (91.667)	Prec@5 100.000 (100.000)
Epoch: [16][20/105], lr: 0.00100	Time 1.897 (2.632)	Data 0.000 (0.650)	Loss 0.2117 (0.2013)	Prec@1 91.667 (93.585)	Prec@5 98.611 (99.735)
Epoch: [16][40/105], lr: 0.00100	Time 2.073 (2.310)	Data 0.000 (0.333)	Loss 0.1858 (0.2087)	Prec@1 95.833 (93.157)	Prec@5 100.000 (99.797)
Epoch: [16][60/105], lr: 0.00100	Time 2.032 (2.196)	Data 0.000 (0.224)	Loss 0.2634 (0.2012)	Prec@1 90.278 (93.169)	Prec@5 100.000 (99.772)
Epoch: [16][80/105], lr: 0.00100	Time 1.903 (2.134)	Data 0.000 (0.169)	Loss 0.1975 (0.1989)	Prec@1 91.667 (93.381)	Prec@5 100.000 (99.726)
Epoch: [16][100/105], lr: 0.00100	Time 1.911 (2.091)	Data 0.000 (0.135)	Loss 0.1429 (0.1874)	Prec@1 94.444 (93.716)	Prec@5 100.000 (99.780)
Test: [0/22]	Time 11.669 (11.669)	Loss 0.3967 (0.3967)	Prec@1 90.278 (90.278)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 1.059 (1.596)	Loss 0.7490 (0.5142)	Prec@1 88.889 (89.881)	Prec@5 98.611 (99.735)
