Epoch: [13][0/118], lr: 0.00010	Time 5.854 (5.854)	Data 4.140 (4.140)	Loss 0.2867 (0.2867)	Prec@1 90.625 (90.625)	Prec@5 98.438 (98.438)
Epoch: [13][20/118], lr: 0.00010	Time 1.678 (1.883)	Data 0.000 (0.197)	Loss 0.5070 (0.3889)	Prec@1 84.375 (85.640)	Prec@5 96.875 (99.182)
Epoch: [13][40/118], lr: 0.00010	Time 1.687 (1.822)	Data 0.000 (0.101)	Loss 0.3235 (0.3788)	Prec@1 84.375 (85.442)	Prec@5 100.000 (99.390)
Epoch: [13][60/118], lr: 0.00010	Time 1.691 (1.795)	Data 0.000 (0.068)	Loss 0.4901 (0.3974)	Prec@1 85.938 (85.015)	Prec@5 100.000 (99.360)
Epoch: [13][80/118], lr: 0.00010	Time 1.676 (1.773)	Data 0.000 (0.051)	Loss 0.2491 (0.4035)	Prec@1 92.188 (84.838)	Prec@5 100.000 (99.383)
Epoch: [13][100/118], lr: 0.00010	Time 1.674 (1.757)	Data 0.000 (0.041)	Loss 0.2884 (0.4025)	Prec@1 87.500 (84.746)	Prec@5 100.000 (99.459)
Test: [0/24]	Time 4.283 (4.283)	Loss 0.7622 (0.7622)	Prec@1 73.438 (73.438)	Prec@5 98.438 (98.438)
Test: [20/24]	Time 0.780 (0.942)	Loss 1.6060 (0.9303)	Prec@1 60.938 (75.670)	Prec@5 96.875 (99.182)
Testing Results: Prec@1 76.247 Prec@5 99.278 Loss 0.90599
Best Prec@1: 79.921

Epoch: [14][0/118], lr: 0.00010	Time 5.959 (5.959)	Data 4.265 (4.265)	Loss 0.2621 (0.2621)	Prec@1 89.062 (89.062)	Prec@5 100.000 (100.000)
Epoch: [14][20/118], lr: 0.00010	Time 1.659 (1.886)	Data 0.000 (0.203)	Loss 0.3600 (0.3283)	Prec@1 90.625 (87.723)	Prec@5 100.000 (99.405)
Epoch: [14][40/118], lr: 0.00010	Time 1.681 (1.790)	Data 0.000 (0.104)	Loss 0.4160 (0.3882)	Prec@1 82.812 (86.052)	Prec@5 100.000 (99.276)
Epoch: [14][60/118], lr: 0.00010	Time 1.743 (1.761)	Data 0.000 (0.070)	Loss 0.4593 (0.3873)	Prec@1 84.375 (85.938)	Prec@5 98.438 (99.283)
Epoch: [14][80/118], lr: 0.00010	Time 1.685 (1.744)	Data 0.000 (0.053)	Loss 0.3763 (0.3833)	Prec@1 85.938 (85.957)	Prec@5 100.000 (99.383)
Epoch: [14][100/118], lr: 0.00010	Time 1.676 (1.733)	Data 0.000 (0.042)	Loss 0.5602 (0.3859)	Prec@1 79.688 (86.015)	Prec@5 98.438 (99.428)
Test: [0/24]	Time 4.629 (4.629)	Loss 0.3980 (0.3980)	Prec@1 84.375 (84.375)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.775 (0.958)	Loss 1.3359 (0.7155)	Prec@1 60.938 (78.051)	Prec@5 98.438 (99.702)
Testing Results: Prec@1 78.740 Prec@5 99.738 Loss 0.70443
Best Prec@1: 79.921

Epoch: [15][0/118], lr: 0.00010	Time 4.966 (4.966)	Data 3.274 (3.274)	Loss 0.3395 (0.3395)	Prec@1 89.062 (89.062)	Prec@5 100.000 (100.000)
Epoch: [15][20/118], lr: 0.00010	Time 1.658 (1.829)	Data 0.000 (0.156)	Loss 0.2989 (0.3919)	Prec@1 87.500 (85.789)	Prec@5 100.000 (99.777)
Epoch: [15][40/118], lr: 0.00010	Time 1.680 (1.762)	Data 0.000 (0.080)	Loss 0.2358 (0.3897)	Prec@1 95.312 (85.823)	Prec@5 100.000 (99.543)
Epoch: [15][60/118], lr: 0.00010	Time 1.676 (1.741)	Data 0.000 (0.054)	Loss 0.3949 (0.3739)	Prec@1 84.375 (86.168)	Prec@5 100.000 (99.513)
Epoch: [15][80/118], lr: 0.00010	Time 1.731 (1.731)	Data 0.000 (0.041)	Loss 0.4581 (0.3730)	Prec@1 81.250 (86.034)	Prec@5 100.000 (99.556)
Epoch: [15][100/118], lr: 0.00010	Time 1.672 (1.721)	Data 0.000 (0.033)	Loss 0.2483 (0.3682)	Prec@1 90.625 (86.077)	Prec@5 100.000 (99.567)
Test: [0/24]	Time 4.578 (4.578)	Loss 0.5096 (0.5096)	Prec@1 81.250 (81.250)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.769 (0.952)	Loss 1.6024 (0.9748)	Prec@1 54.688 (75.074)	Prec@5 93.750 (98.512)
Testing Results: Prec@1 76.115 Prec@5 98.688 Loss 0.93389
Best Prec@1: 79.921

Epoch: [16][0/118], lr: 0.00010	Time 5.536 (5.536)	Data 3.824 (3.824)	Loss 0.2391 (0.2391)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Epoch: [16][20/118], lr: 0.00010	Time 1.695 (1.855)	Data 0.000 (0.182)	Loss 0.4889 (0.3244)	Prec@1 84.375 (88.021)	Prec@5 100.000 (99.628)
Epoch: [16][40/118], lr: 0.00010	Time 1.679 (1.768)	Data 0.000 (0.093)	Loss 0.3485 (0.3454)	Prec@1 85.938 (87.348)	Prec@5 100.000 (99.733)
Epoch: [16][60/118], lr: 0.00010	Time 1.680 (1.743)	Data 0.000 (0.063)	Loss 0.3588 (0.3419)	Prec@1 87.500 (87.526)	Prec@5 98.438 (99.693)
Epoch: [16][80/118], lr: 0.00010	Time 1.752 (1.731)	Data 0.000 (0.047)	Loss 0.3514 (0.3529)	Prec@1 85.938 (87.133)	Prec@5 98.438 (99.595)
Epoch: [16][100/118], lr: 0.00010	Time 1.672 (1.722)	Data 0.000 (0.038)	Loss 0.3348 (0.3504)	Prec@1 85.938 (87.020)	Prec@5 100.000 (99.567)
Test: [0/24]	Time 4.201 (4.201)	Loss 0.7246 (0.7246)	Prec@1 73.438 (73.438)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.773 (0.934)	Loss 2.0780 (0.8352)	Prec@1 50.000 (76.562)	Prec@5 93.750 (98.810)
Testing Results: Prec@1 77.428 Prec@5 98.950 Loss 0.79966
Best Prec@1: 79.921

Epoch: [17][0/118], lr: 0.00010	Time 5.604 (5.604)	Data 3.886 (3.886)	Loss 0.4329 (0.4329)	Prec@1 84.375 (84.375)	Prec@5 98.438 (98.438)
