Epoch: [0][1080/2049], lr: 0.00100	Time 0.061 (0.062)	Data 0.000 (0.001)	Loss 3.3797 (2.5610)	Prec@1 0.000 (20.722)	Prec@5 0.000 (62.257)
Epoch: [0][1100/2049], lr: 0.00100	Time 0.054 (0.062)	Data 0.000 (0.001)	Loss 2.1787 (2.5626)	Prec@1 0.000 (20.618)	Prec@5 100.000 (61.944)
Epoch: [0][1120/2049], lr: 0.00100	Time 0.061 (0.062)	Data 0.000 (0.001)	Loss 3.2659 (2.5657)	Prec@1 0.000 (20.517)	Prec@5 0.000 (61.641)
Epoch: [0][1140/2049], lr: 0.00100	Time 0.057 (0.061)	Data 0.000 (0.001)	Loss 1.5166 (2.5599)	Prec@1 100.000 (20.771)	Prec@5 100.000 (61.963)
Epoch: [0][1160/2049], lr: 0.00100	Time 0.059 (0.061)	Data 0.000 (0.001)	Loss 2.2705 (2.5448)	Prec@1 0.000 (21.102)	Prec@5 100.000 (62.188)
Epoch: [0][1180/2049], lr: 0.00100	Time 0.057 (0.061)	Data 0.000 (0.001)	Loss 2.8689 (2.5423)	Prec@1 0.000 (21.084)	Prec@5 0.000 (62.151)
Epoch: [0][1200/2049], lr: 0.00100	Time 0.054 (0.061)	Data 0.000 (0.001)	Loss 1.7508 (2.5373)	Prec@1 100.000 (21.232)	Prec@5 100.000 (62.448)
Epoch: [0][1220/2049], lr: 0.00100	Time 0.068 (0.061)	Data 0.000 (0.001)	Loss 1.8777 (2.5354)	Prec@1 0.000 (21.376)	Prec@5 100.000 (62.817)
Epoch: [0][1240/2049], lr: 0.00100	Time 0.055 (0.061)	Data 0.000 (0.001)	Loss 1.7928 (2.5318)	Prec@1 0.000 (21.757)	Prec@5 100.000 (63.175)
Epoch: [0][1260/2049], lr: 0.00100	Time 0.051 (0.061)	Data 0.000 (0.001)	Loss 2.5722 (2.5318)	Prec@1 0.000 (21.649)	Prec@5 100.000 (63.204)
Epoch: [0][1280/2049], lr: 0.00100	Time 0.066 (0.061)	Data 0.000 (0.001)	Loss 2.4825 (2.5251)	Prec@1 0.000 (21.780)	Prec@5 100.000 (63.466)
Epoch: [0][1300/2049], lr: 0.00100	Time 0.063 (0.061)	Data 0.000 (0.001)	Loss 1.8853 (2.5257)	Prec@1 0.000 (21.522)	Prec@5 100.000 (63.413)
Epoch: [0][1320/2049], lr: 0.00100	Time 0.050 (0.061)	Data 0.000 (0.001)	Loss 2.8363 (2.5290)	Prec@1 0.000 (21.423)	Prec@5 0.000 (63.285)
Epoch: [0][1340/2049], lr: 0.00100	Time 0.053 (0.061)	Data 0.000 (0.001)	Loss 2.3342 (2.5309)	Prec@1 0.000 (21.327)	Prec@5 100.000 (62.938)
Epoch: [0][1360/2049], lr: 0.00100	Time 0.070 (0.061)	Data 0.000 (0.001)	Loss 1.7267 (2.5305)	Prec@1 100.000 (21.602)	Prec@5 100.000 (63.115)
Epoch: [0][1380/2049], lr: 0.00100	Time 0.052 (0.061)	Data 0.000 (0.001)	Loss 3.1818 (2.5280)	Prec@1 0.000 (21.506)	Prec@5 0.000 (63.070)
Epoch: [0][1400/2049], lr: 0.00100	Time 0.053 (0.061)	Data 0.000 (0.001)	Loss 1.6950 (2.5276)	Prec@1 100.000 (21.556)	Prec@5 100.000 (63.169)
Epoch: [0][1420/2049], lr: 0.00100	Time 0.055 (0.061)	Data 0.000 (0.001)	Loss 2.4545 (2.5258)	Prec@1 0.000 (21.605)	Prec@5 100.000 (63.265)
Epoch: [0][1440/2049], lr: 0.00100	Time 0.080 (0.061)	Data 0.000 (0.001)	Loss 0.0644 (2.5188)	Prec@1 100.000 (21.721)	Prec@5 100.000 (63.567)
Epoch: [0][1460/2049], lr: 0.00100	Time 0.062 (0.061)	Data 0.000 (0.001)	Loss 2.7261 (2.5179)	Prec@1 0.000 (21.834)	Prec@5 100.000 (63.792)
Epoch: [0][1480/2049], lr: 0.00100	Time 0.052 (0.061)	Data 0.000 (0.001)	Loss 2.7225 (2.5250)	Prec@1 0.000 (21.945)	Prec@5 100.000 (63.741)
Epoch: [0][1500/2049], lr: 0.00100	Time 0.058 (0.061)	Data 0.000 (0.001)	Loss 1.3573 (2.5221)	Prec@1 100.000 (22.252)	Prec@5 100.000 (63.891)
Epoch: [0][1520/2049], lr: 0.00100	Time 0.062 (0.061)	Data 0.000 (0.001)	Loss 0.1935 (2.5177)	Prec@1 100.000 (22.354)	Prec@5 100.000 (63.774)
Epoch: [0][1540/2049], lr: 0.00100	Time 0.052 (0.061)	Data 0.000 (0.001)	Loss 1.9680 (2.5128)	Prec@1 0.000 (22.323)	Prec@5 100.000 (63.984)
Epoch: [0][1560/2049], lr: 0.00100	Time 0.060 (0.061)	Data 0.000 (0.001)	Loss 0.4931 (2.5070)	Prec@1 100.000 (22.422)	Prec@5 100.000 (64.126)
Epoch: [0][1580/2049], lr: 0.00100	Time 0.054 (0.061)	Data 0.000 (0.001)	Loss 0.0000 (2.4994)	Prec@1 100.000 (22.581)	Prec@5 100.000 (64.326)
