Epoch: [7][20/123], lr: 0.00010	Time 0.326 (0.512)	Data 0.000 (0.137)	Loss 0.0028 (0.1432)	Prec@1 100.000 (95.833)	Prec@5 100.000 (100.000)
Epoch: [7][40/123], lr: 0.00010	Time 0.373 (0.430)	Data 0.000 (0.070)	Loss 0.0342 (0.1069)	Prec@1 100.000 (96.341)	Prec@5 100.000 (100.000)
Epoch: [7][60/123], lr: 0.00010	Time 0.314 (0.403)	Data 0.004 (0.047)	Loss 0.0068 (0.0993)	Prec@1 100.000 (96.516)	Prec@5 100.000 (100.000)
Epoch: [7][80/123], lr: 0.00010	Time 0.445 (0.397)	Data 0.000 (0.036)	Loss 0.0086 (0.0931)	Prec@1 100.000 (96.451)	Prec@5 100.000 (100.000)
Epoch: [7][100/123], lr: 0.00010	Time 0.399 (0.389)	Data 0.000 (0.029)	Loss 0.0477 (0.0950)	Prec@1 100.000 (96.535)	Prec@5 100.000 (100.000)
Epoch: [7][120/123], lr: 0.00010	Time 0.353 (0.380)	Data 0.000 (0.024)	Loss 0.0048 (0.1111)	Prec@1 100.000 (96.178)	Prec@5 100.000 (100.000)
Test: [0/49]	Time 2.091 (2.091)	Loss 0.0010 (0.0010)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.124 (0.286)	Loss 0.6725 (0.0875)	Prec@1 75.000 (96.429)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.135 (0.219)	Loss 0.0002 (0.1383)	Prec@1 100.000 (94.817)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 95.630 Prec@5 100.000 Loss 0.11684
Best Prec@1: 96.915

Epoch: [8][0/123], lr: 0.00010	Time 3.527 (3.527)	Data 3.161 (3.161)	Loss 0.0002 (0.0002)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [8][20/123], lr: 0.00010	Time 0.361 (0.513)	Data 0.000 (0.151)	Loss 0.1322 (0.0371)	Prec@1 87.500 (98.810)	Prec@5 100.000 (100.000)
Epoch: [8][40/123], lr: 0.00010	Time 0.307 (0.441)	Data 0.000 (0.078)	Loss 0.0043 (0.0907)	Prec@1 100.000 (97.256)	Prec@5 100.000 (100.000)
