Epoch: [0][2000/2049], lr: 0.00100	Time 0.197 (0.199)	Data 0.000 (0.000)	Loss 1.3099 (1.9985)	Prec@1 0.000 (34.833)	Prec@5 100.000 (80.260)
Epoch: [0][2020/2049], lr: 0.00100	Time 0.194 (0.199)	Data 0.000 (0.000)	Loss 1.9600 (1.9984)	Prec@1 0.000 (34.884)	Prec@5 100.000 (80.307)
Epoch: [0][2040/2049], lr: 0.00100	Time 0.194 (0.199)	Data 0.000 (0.000)	Loss 2.0164 (1.9959)	Prec@1 0.000 (35.081)	Prec@5 100.000 (80.353)
Test: [0/410]	Time 0.545 (0.545)	Loss 1.5947 (1.5947)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Test: [20/410]	Time 0.068 (0.095)	Loss 1.0064 (0.6626)	Prec@1 0.000 (76.190)	Prec@5 100.000 (100.000)
Test: [40/410]	Time 0.071 (0.083)	Loss 4.0234 (1.3646)	Prec@1 0.000 (58.537)	Prec@5 100.000 (90.244)
Test: [60/410]	Time 0.072 (0.079)	Loss 1.1436 (1.5285)	Prec@1 100.000 (54.098)	Prec@5 100.000 (91.803)
Test: [80/410]	Time 0.072 (0.077)	Loss 1.6317 (1.5415)	Prec@1 0.000 (48.148)	Prec@5 100.000 (93.827)
Test: [100/410]	Time 0.070 (0.076)	Loss 0.4992 (1.4318)	Prec@1 100.000 (49.505)	Prec@5 100.000 (95.050)
Test: [120/410]	Time 0.071 (0.075)	Loss 1.4162 (1.3331)	Prec@1 0.000 (54.545)	Prec@5 100.000 (95.868)
Test: [140/410]	Time 0.071 (0.075)	Loss 1.8035 (1.4424)	Prec@1 0.000 (46.809)	Prec@5 100.000 (96.454)
Test: [160/410]	Time 0.072 (0.074)	Loss 0.0202 (1.3613)	Prec@1 100.000 (49.068)	Prec@5 100.000 (96.894)
Test: [180/410]	Time 0.072 (0.074)	Loss 0.6543 (1.3704)	Prec@1 100.000 (50.829)	Prec@5 100.000 (95.580)
Test: [200/410]	Time 0.071 (0.074)	Loss 0.4599 (1.3975)	Prec@1 100.000 (52.736)	Prec@5 100.000 (94.030)
Test: [220/410]	Time 0.071 (0.073)	Loss 0.3510 (1.3172)	Prec@1 100.000 (55.204)	Prec@5 100.000 (94.570)
Test: [240/410]	Time 0.070 (0.073)	Loss 0.4887 (1.2207)	Prec@1 100.000 (58.921)	Prec@5 100.000 (95.021)
Test: [260/410]	Time 0.071 (0.073)	Loss 0.3201 (1.1405)	Prec@1 100.000 (61.686)	Prec@5 100.000 (95.402)
Test: [280/410]	Time 0.072 (0.073)	Loss 0.9723 (1.1369)	Prec@1 0.000 (60.142)	Prec@5 100.000 (95.374)
Test: [300/410]	Time 0.071 (0.073)	Loss 2.6028 (1.1989)	Prec@1 0.000 (56.146)	Prec@5 100.000 (95.681)
Test: [320/410]	Time 0.068 (0.073)	Loss 5.7345 (1.2480)	Prec@1 0.000 (53.894)	Prec@5 100.000 (95.950)
Test: [340/410]	Time 0.071 (0.073)	Loss 0.0296 (1.1754)	Prec@1 100.000 (56.598)	Prec@5 100.000 (96.188)
Test: [360/410]	Time 0.071 (0.073)	Loss 1.8240 (1.2604)	Prec@1 0.000 (54.017)	Prec@5 100.000 (94.460)
Test: [380/410]	Time 0.071 (0.073)	Loss 1.4474 (1.3037)	Prec@1 0.000 (51.444)	Prec@5 100.000 (94.488)
Test: [400/410]	Time 0.071 (0.073)	Loss 0.7895 (1.3238)	Prec@1 100.000 (49.377)	Prec@5 100.000 (94.264)
Testing Results: Prec@1 48.293 Prec@5 93.415 Loss 1.34843
Best Prec@1: 48.293

Epoch: [1][0/2049], lr: 0.00100	Time 0.849 (0.849)	Data 0.628 (0.628)	Loss 0.9960 (0.9960)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [1][20/2049], lr: 0.00100	Time 0.197 (0.227)	Data 0.000 (0.030)	Loss 3.4158 (1.3606)	Prec@1 0.000 (52.381)	Prec@5 100.000 (95.238)
Epoch: [1][40/2049], lr: 0.00100	Time 0.195 (0.212)	Data 0.000 (0.015)	Loss 1.5236 (1.2022)	Prec@1 0.000 (56.098)	Prec@5 100.000 (95.122)
Epoch: [1][60/2049], lr: 0.00100	Time 0.195 (0.207)	Data 0.000 (0.010)	Loss 0.5637 (1.5027)	Prec@1 100.000 (50.820)	Prec@5 100.000 (91.803)
Epoch: [1][80/2049], lr: 0.00100	Time 0.197 (0.204)	Data 0.000 (0.008)	Loss 5.3212 (1.6465)	Prec@1 0.000 (48.148)	Prec@5 0.000 (91.358)
Epoch: [1][100/2049], lr: 0.00100	Time 0.195 (0.202)	Data 0.000 (0.006)	Loss 1.3169 (1.6692)	Prec@1 0.000 (45.545)	Prec@5 100.000 (92.079)
Epoch: [1][120/2049], lr: 0.00100	Time 0.197 (0.201)	Data 0.000 (0.005)	Loss 1.1210 (1.6769)	Prec@1 100.000 (45.455)	Prec@5 100.000 (92.562)
Epoch: [1][140/2049], lr: 0.00100	Time 0.197 (0.200)	Data 0.000 (0.005)	Loss 1.8965 (1.6707)	Prec@1 0.000 (44.681)	Prec@5 100.000 (92.908)
Epoch: [1][160/2049], lr: 0.00100	Time 0.192 (0.200)	Data 0.000 (0.004)	Loss 0.5443 (1.7287)	Prec@1 100.000 (42.857)	Prec@5 100.000 (91.925)
Epoch: [1][180/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.004)	Loss 2.7629 (1.7362)	Prec@1 0.000 (41.436)	Prec@5 0.000 (91.713)
Epoch: [1][200/2049], lr: 0.00100	Time 0.195 (0.199)	Data 0.000 (0.003)	Loss 0.0277 (1.6993)	Prec@1 100.000 (42.786)	Prec@5 100.000 (92.537)
